Title,Abstract Note,Manual Tags,LLM_Relevant,LLM_Response
Teachers’ experiences of remote teaching in the COVID-19 pandemic for students with intellectual disabilities in the kingdom of Saudi Arabia,"The objective of this study is to investigate the experiences of teachers of students with Intellectual Disabilities (ID) with remote teaching during the COVID-19 pandemic, and to suggest solutions to address challenges. The study used an electronic questionnaire to collect field data from 150 teachers of students with IDs located in various cities of the Kingdom of Saudi Arabia (KSA). The study found that the most significant challenge encountered by teachers was that their students with ID found it challenging to complete online assessments in a specified amount of time and also to communicate with their peers and teachers. The findings of this study highlight the need for teachers to receive support from parents and the Ministry of Education of the KSA to improve the effectiveness of remote teaching for students with intellectual disabilities.",academic achievement; adaptive behavior; aggression; article; assistive technology; augmentative and alternative communication; clinical effectiveness; coronavirus disease 2019; disabled person; distance learning; e-learning; face to face support group; human; inclusive education; intellectual impairment; Internet; internet access; internet literacy; learning; learning environment; motor performance; problem solving; quantitative analysis; reinforcement (psychology); Saudi Arabia; self concept; self-directed learning; social work; special education; teacher; teaching; tertiary education; work experience,False,Out
"Personality disorders in offenders with intellectual disability: A comparison of clinical, forensic and outcome variables and implications for service provision","Aim: To establish any differences between patients with and without a diagnosis of personality disorders, being treated in a secure inpatient service for offenders with intellectual disability (ID) in the UK. Method: A cohort study involving a selected population of people with ID and offending behaviours. Results: The study included a total of 138 patients, treated over a 6 year period - 77 with a dissocial or emotionally unstable personality disorder and 61 without. Women were more likely to be in the personality disorder group. Both groups had high prevalence of abuse with no significant differences. Depressive disorders and substance abuse were more common in the personality disorder group, while epilepsy and autistic spectrum disorders were more common in the non-personality disorder group. Rather than differences, what was more striking was the rate and range of these comorbidities across both groups. Although past histories of violence and institutional aggression were no different, compulsory detention under criminal sections and restriction orders were more common in the personality disorder group. There were no differences in treatment outcomes. Conclusions: Although about half of patients detained in secure units for offenders with ID have a personality disorder, there were more similarities than differences between this group and the rest. While good treatment outcomes supported the case for specialised secure treatment units for people with ID, the case for establishing a more specialised ID-personality disorder unit was less convincing. There is also a need to explore whether there are alternative diagnostic models that can delineate better the group with personality difficulties in this population. © 2010 The Authors. Journal Compilation © 2010 Blackwell Publishing Ltd.",article; autism; clinical assessment; comparative study; depression; emotional stability; epilepsy; female; forensic psychiatry; hospital patient; human; intellectual impairment; major clinical study; male; mental health care; mental health service; offender; personality disorder; prevalence; sexual abuse; substance abuse; United Kingdom,False,Out
"Response to Lindsay et al. (Journal of Intellectual Disability Research, 48, 580-590) 'Women with intellectual disability who have offended'",,adaptive behavior; automutilation; child abuse; criminal behavior; data analysis; demography; forensic identification; human; intellectual impairment; letter; medical specialist; offender; patient care; patient referral; personality disorder; sex difference; sexual abuse; social aspect; social psychology; violence,False,Out
Parent–Child Interaction Therapy for Children with Disruptive Behaviors and Autism: A Randomized Clinical Trial,"A relatively large number of children with autism spectrum disorder (ASD) exhibit disruptive behavioral problems. While accumulating data have shown behavioral parent training programs to be efficacious in reducing disruptive behaviors for this population, there is a dearth of literature examining the impact of such programs across the range of ASD severity. To evaluate the effectiveness of Parent–Child Interaction Therapy (PCIT), an evidence-based treatment for children with problem behaviors and their families, in reducing disruptive behaviors among children (4–10 years) with ASD (without intellectual disabilities). Fifty-five children (85.5% male, 7.15 years; SD 1.72) were enrolled from pediatric offices and educational settings into a randomized clinical trial (PCIT: N = 30; Control: N = 25). PCIT families demonstrated a significant reduction in child disruptive behaviors, increase in positive parent–child communication, improvement in child compliance, and reduction in parental stress compared to the control group. Exploratory analyses revealed no differential treatment response based on ASD severity, receptive language, and age. Results are promising for the use of PCIT with children demonstrating disruptive behaviors across the autism spectrum.",aggression; aripiprazole; article; autism; Beck Depression Inventory; behavior assessment; Behavior Assessment Scale for Children Second Edition; child; child behavior; child health care; child parent relation; Childhood Autism Rating Scale; clinical article; controlled study; differential diagnosis; disease severity; disruptive behavior; Dyadic Parent Child Interaction Coding System; externalization (behavior); Eyberg Child Behavior Inventory; family income; female; human; intellectual impairment; interpersonal communication; locus of control; locus of control assessment; male; Outcome Measures of Child and Parent Functioning; Parent Stress Index-Short Form; parent-child interaction therapy; parental stress; Parenting Locus of Control Short Form; patient compliance; Peabody picture vocabulary test; psychosocial intervention; randomized controlled trial; risperidone; school child; Therapy Attitude Inventory; treatment response,False,Out
Which student problem behaviors are sources of teacher stress in special needs schools?,"Introduction: Students with intellectual disabilities (ID) in special needs schools often exhibit high levels of problem behaviors (Dekker & Koot, 2003). Besides of the challenges for students and their parents, behavioural problems can also be a source of stress for teachers (Hastings & Brown, 2002). However, less is known on which behaviors are perceived as how stressful in special needs schools. Methods: Using paper-pencil questionnaires, 233 special needs teachers (M = 48.1 years (SD = 10.1); 83.7% female) in Switzerland provided information on how stressful (0 = not stressful to 3 = very stressful) they perceived different types of students' behavioural problems. The 93 behavior descriptions stemmed from the Developmental Behavior Checklist (Einfeld & Tonge, 2002) and the scale demonstrated excellent reliability (α = .98). Results: Preliminary results from the ongoing data collection suggest that “Hits or kicks others” (M = 1.79, SD = .99), “Bites others” (M = 1.57, SD = 1.20) and “Runs away with intention” (M = 1.57, SD = 1.04) were reported as the greatest sources of stress. Results presented will include further analyses using the final data set. Implications: Implications for special needs teachers' well-being will be discussed with a specific focus on the role of students' externalizing behaviors.",adult; bite; checklist; conference abstract; female; human; intellectual impairment; male; physiological stress; preliminary data; problem behavior; questionnaire; reliability; student; Switzerland; teacher; wellbeing,False,Out
Social workers' attributions toward individuals with dual diagnosis of intellectual disability and mental illness,"Aim: The present study aimed to explore the applicability of the attribution model to social workers' stigma of individuals diagnosed with dual diagnosis of intellectual disability and mental illness. Specifically, the study examined the relations between social workers' attribution of responsibility, causality and dangerousness, emotional responses and behavioural reactions toward clients with dual diagnosis. Method: 279 social workers completed questionnaires measuring attributions of responsibility, causation and dangerousness, and reported on emotional and behavioural reactions to clients diagnosed with a dual diagnosis. Results: Most social workers reported high levels of helping behaviours. The strongest predictor of discriminatory behaviours was the stereotype of dangerousness. Social workers who reported feeling less anger and more pity toward clients with dual diagnosis tended to report higher levels of helping behaviour. Contrary to attribution theory, fear and anger did not predict discriminatory behaviours. Conclusions: The results are discussed in relation to the core values of social work and to professional identity.",anger; clinical study; cooperation; diagnosis; disease model; fear; human; identity; intellectual impairment; mental disease; questionnaire; responsibility; social work; stereotypy; stigma,False,Out
Social workers' attributions towards individuals with dual diagnosis of intellectual disability and mental illness,"Background: The present study aimed to explore the applicability of the attribution model to social workers' attributions towards clients with dual diagnosis of intellectual disability and psychiatric illness. Specifically, the study examined the relations between social workers' attribution of responsibility, causality, stereotypes of dangerousness, their emotional reactions and behavioural reactions towards clients with dual diagnosis. Method: Social workers (N = 279) completed questionnaires measuring attributions of responsibility, causation and dangerousness, and reported on their emotional and behavioural reactions to clients diagnosed with DD. Results: Most social workers reported high levels of helping behaviours. The strongest predictor of discriminatory behaviours was the stereotype of dangerousness. Social workers who reported feeling less anger and more pity towards clients with DD tended to report higher levels of helping behaviour. But contrary to attribution theory, fear and anger did not predict discriminatory behaviours. Conclusion: The results are discussed in relation to the core values of social work and to professional identity.",adult; anger; article; avoidance behavior; causal attribution; controlled study; cooperation; emotionality; fear; female; hazard; human; intellectual impairment; male; mental disease; prediction; questionnaire; social worker attitude,False,Out
Topiramate in long-term treatment of epilepsy in the intellectually disabled,"Background: To study the effectiveness of topiramate (TPM) in refractory epilepsy in patients who have intellectual disability (ID). Methods: A representative population sample Of 57 patients with ID (age range 2-61, mean 32.8) was administered add-on TPM for drug-refractory epilepsy. Results: Seizure freedom for at least for 6 months was attained by 10 (17%), and seizure reduction of ≥50% by further 26 (46%). Less than 50% decrease in seizure frequency was found in 16 (29%). TPM was more efficacious in localisation-related than in generalised epilepsies (81% vs. 50%, P = 0.019). An at least 50% decrease in seizure frequency was achieved by patients with temporal lobe epilepsy in 100%, continuous spike-waves during sleep syndrome in 75%, Lennox-Gastaut syndrome in 52%, and those with infantile spasms in 25% of cases. As great decrease in seizure frequency was found in most patients with cortical dysplasia (83%), acquired encephalopathy with mesial temporal sclerosis (MTS) (75%), and genetic disease associated with MTS (66%). Adverse effects occurred in 10% including two (3%) with seizure aggravation and three (5%) necessitating discontinuation. Conclusion: TPM is an effective antiepileptic drug which is of value in treating people with seizures that are resistant to other antiepileptic medication. As a broad-spectrum drug it may substitute for polypharmacy and, at the same time decrease adverse effects and costs of therapy. © 2005 Blackwell Publishing Ltd.",acetazolamide; add on therapy; adolescent; adult; aggression; anorexia; anticonvulsive agent; article; body weight disorder; brain disease; carbamazepine; child; clobazam; clonazepam; controlled study; cortical dysplasia; disease association; disease exacerbation; drug efficacy; epilepsy; ethosuximide; fatigue; female; gabapentin; generalized epilepsy; genetic disorder; health care cost; hippocampal sclerosis; human; infantile spasm; intellectual impairment; lamotrigine; Lennox Gastaut syndrome; long term care; major clinical study; male; morbidity; nausea and vomiting; nitrazepam; oxcarbazepine; population research; seizure; side effect; skin manifestation; spike wave; temporal lobe epilepsy; tiagabine; topiramate; valproic acid; vigabatrin,False,Out
